FILTER REPORT
=============

Input file: final-test.json
Filter: status = 200
Total results: 4664
Filtered results: 3579

RESULTS:
--------
1. https://www.ozyegin.edu.tr/tr | status=200 | method=static | types=
63. https://www.ozyegin.edu.tr/tr/ogrenci-hizmetleri/ucretler-ve-odemeler/borc-goruntuleme-ve-e-odeme | status=200 | method=static | types=
64. https://www.ozyegin.edu.tr/tr/hakkimizda | status=200 | method=static | types=
65. https://www.ozyegin.edu.tr/tr/basin | status=200 | method=static | types=
66. https://www.ozyegin.edu.tr/tr/hakkimizda/kurulus-oykusu | status=200 | method=static | types=
67. https://www.ozyegin.edu.tr/tr/hakkimizda/vizyon-ve-misyon | status=200 | method=static | types=
68. https://www.ozyegin.edu.tr/tr/stratejik-plan/2024-2029-stratejik-plani | status=200 | method=static | types=
69. https://www.ozyegin.edu.tr/tr/hakkimizda/dunden-bugune-rektorlerimiz | status=200 | method=static | types=
70. https://www.ozyegin.edu.tr/tr/hakkimizda/ilkeler-ve-politikalar/egitim-politikasi | status=200 | method=static | types=
71. https://www.ozyegin.edu.tr/tr/hakkimizda/ustun-basari-odulleri | status=200 | method=static | types=
72. https://www.ozyegin.edu.tr/tr/hakkimizda/toplumsal-cinsiyet-esitligi-plani | status=200 | method=static | types=
73. https://www.ozyegin.edu.tr/tr/hakkimizda/yonetim/mutevelli-heyeti | status=200 | method=static | types=
74. https://www.ozyegin.edu.tr/tr/hakkimizda/kilometre-taslari | status=200 | method=static | types=
75. https://www.ozyegin.edu.tr/tr/hakkimizda/yonetim/universite-yonetim-kurulu | status=200 | method=static | types=
76. https://www.ozyegin.edu.tr/tr/hakkimizda/yonetim/universite-senatosu | status=200 | method=static | types=
77. https://www.ozyegin.edu.tr/tr/hakkimizda/yonetim/idari-yonetim | status=200 | method=static | types=
78. https://www.ozyegin.edu.tr/tr/hakkimizda/yonetim/akademik-yonetim/rektor | status=200 | method=static | types=
79. https://www.ozyegin.edu.tr/tr/akademik/fakulteler | status=200 | method=static | types=
80. https://www.ozyegin.edu.tr/tr/akademik | status=200 | method=static | types=
81. https://www.ozyegin.edu.tr/tr/hakkimizda/yonetim/rektor | status=200 | method=static | types=
82. https://www.ozyegin.edu.tr/tr/isletme-fakultesi | status=200 | method=static | types=
83. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-fakultesi | status=200 | method=static | types=
84. https://www.ozyegin.edu.tr/tr/mimarlik-ve-tasarim-fakultesi | status=200 | method=static | types=
85. https://www.ozyegin.edu.tr/tr/havacilik-ve-uzay-bilimleri-fakultesi | status=200 | method=static | types=
86. https://engineering.ozyegin.edu.tr/tr | status=200 | method=static | types=
87. https://www.ozyegin.edu.tr/tr/akademik/yuksekokullar | status=200 | method=static | types=
88. https://www.ozyegin.edu.tr/tr/uygulamali-bilimler-fakultesi | status=200 | method=static | types=
89. https://www.ozyegin.edu.tr/tr/yabanci-diller-yuksekokulu | status=200 | method=static | types=
